"scenario_id","lane","status","setup_values","formula_setup","observe_cells","notes"
"W14CP-001","W14-CP-A","ready","A1:=10|A2:=20|A3:=30","B1:=OX_TRACE_U1(A1:A3)|B2:=OX_TRACE_U1(A1:A3)|B3:=OX_TRACE_U1(A1:A3)","B1|B2|B3","U-style unary probe over a vertical range without SINGLE."
"W14CP-002","W14-CP-A","ready","A1:=10|A2:=20|A3:=30","B1:=SINGLE(OX_TRACE_U1(A1:A3))|B2:=SINGLE(OX_TRACE_U1(A1:A3))|B3:=SINGLE(OX_TRACE_U1(A1:A3))","B1|B2|B3","U-style unary probe over a vertical range wrapped in SINGLE."
"W14CP-003","W14-CP-B","ready","A1:=10|A2:=20|A3:=30","B1:=OX_TRACE_Q1(A1:A3)|B2:=OX_TRACE_Q1(A1:A3)|B3:=OX_TRACE_Q1(A1:A3)","B1|B2|B3","Q-style unary numeric probe over a vertical range without SINGLE."
"W14CP-004","W14-CP-B","ready","A1:=10|A2:=20|A3:=30","B1:=SINGLE(OX_TRACE_Q1(A1:A3))|B2:=SINGLE(OX_TRACE_Q1(A1:A3))|B3:=SINGLE(OX_TRACE_Q1(A1:A3))","B1|B2|B3","Q-style unary numeric probe over a vertical range wrapped in SINGLE."
"W14CP-005","W14-CP-C","ready","A1:=1|A2:=2|A3:=3|B1:=10|C1:=20|D1:=30","F1:=OX_TRACE_U2(A1:A3,B1:D1)|F2:=OX_TRACE_U2(A1:A3,B1:D1)|F3:=OX_TRACE_U2(A1:A3,B1:D1)","F1|F2|F3","U-style binary probe with vertical first arg and horizontal second arg."
"W14CP-006","W14-CP-C","ready","A1:=1|A2:=2|A3:=3|B1:=10|C1:=20|D1:=30","F1:=SINGLE(OX_TRACE_U2(A1:A3,B1:D1))|F2:=SINGLE(OX_TRACE_U2(A1:A3,B1:D1))|F3:=SINGLE(OX_TRACE_U2(A1:A3,B1:D1))","F1|F2|F3","U-style binary probe with SINGLE around the function call."
"W14CP-007","W14-CP-D","ready","A1:=1|A2:=2|A3:=3|B1:=10|C1:=20|D1:=30","F1:=OX_TRACE_Q2(A1:A3,B1:D1)|F2:=OX_TRACE_Q2(A1:A3,B1:D1)|F3:=OX_TRACE_Q2(A1:A3,B1:D1)","F1|F2|F3","Q-style binary numeric probe with vertical first arg and horizontal second arg."
"W14CP-008","W14-CP-D","ready","A1:=1|A2:=2|A3:=3|B1:=10|C1:=20|D1:=30","F1:=SINGLE(OX_TRACE_Q2(A1:A3,B1:D1))|F2:=SINGLE(OX_TRACE_Q2(A1:A3,B1:D1))|F3:=SINGLE(OX_TRACE_Q2(A1:A3,B1:D1))","F1|F2|F3","Q-style binary numeric probe with SINGLE around the function call."
"W14CP-009","W14-CP-E","ready","A1:=10|B1:=20|A2:=30|B2:=40","D4:=OX_TRACE_U1(A1:B2)","D4","U-style unary probe on a 2-D range from a non-overlapping caller cell."
"W14CP-010","W14-CP-E","ready","A1:=10|B1:=20|A2:=30|B2:=40","D4:=SINGLE(OX_TRACE_U1(A1:B2))","D4","U-style unary 2-D range probe with SINGLE."
"W14CP-011","W14-CP-F","ready","A1:=10|A2:=20|A3:=30","B2:=OX_TRACE_U1(A1:A3)|C2:=SINGLE(OX_TRACE_U1(A1:A3))|D2:=OX_TRACE_Q1(A1:A3)|E2:=SINGLE(OX_TRACE_Q1(A1:A3))","B2|C2|D2|E2","Side-by-side storage and call-pattern comparison for U and Q forms from the same caller row."
